roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0142,32,40,40,48,1.0,2.041722044092716e-06,0.01799952337659358
sio2 all 20 dish white_p07_r0143,32,40,44,52,1.0,1.7455130516560087e-06,0.01763009797340463
sio2 all 20 dish white_p07_r0144,32,40,48,56,1.0,1.7869438393516282e-06,0.01755452073398514
sio2 all 20 dish white_p07_r0145,32,40,52,60,1.0,1.9487656164729126e-06,0.017654554993127458
sio2 all 20 dish white_p07_r0146,32,40,56,64,1.0,1.9615770002055897e-06,0.017711260280104123
sio2 all 20 dish white_p07_r0147,32,40,60,68,1.0,2.3123430598731913e-06,0.018022395590782565
sio2 all 20 dish white_p07_r0148,32,40,64,72,1.0,2.127864482554758e-06,0.018525591598884058
sio2 all 20 dish white_p07_r0149,32,40,68,76,1.0,2.016082133300481e-06,0.018644109861583616
sio2 all 20 dish white_p07_r0150,32,40,72,80,1.0,4.70656431510486e-06,0.019629780695646106
sio2 all 20 dish white_p07_r0151,32,40,76,84,1.0,6.463899115527124e-06,0.021244020486552214
sio2 all 20 dish white_p07_r0152,32,40,80,88,1.0,5.154180095323209e-06,0.020962691945166468
sio2 all 20 dish white_p07_r0153,32,40,84,92,1.0,2.098741968204694e-06,0.020443769326288514
sio2 all 20 dish white_p07_r0154,32,40,88,96,0.96875,2.3228689442523834e-06,0.020357537590227483
sio2 all 20 dish white_p07_r0155,32,40,92,100,0.96875,1.8060154886416338e-06,0.019977914634305607
sio2 all 20 dish white_p07_r0156,32,40,96,104,1.0,2.3597522781498606e-06,0.020733610452695606
sio2 all 20 dish white_p07_r0157,32,40,100,108,0.90625,2.019739739330833e-06,0.021292607866679067
sio2 all 20 dish white_p07_r0158,36,44,4,12,0.890625,0.00011557546645345909,0.026443441433924506
sio2 all 20 dish white_p07_r0159,36,44,8,16,1.0,4.835438664917254e-06,0.02363396734679546
sio2 all 20 dish white_p07_r0160,36,44,12,20,1.0,4.21806395308837e-06,0.0225326982801947
sio2 all 20 dish white_p07_r0161,36,44,16,24,1.0,4.691482775110445e-06,0.020835705491001746
sio2 all 20 dish white_p07_r0162,36,44,20,28,1.0,3.007223582552279e-06,0.01993951171378263
sio2 all 20 dish white_p07_r0163,36,44,24,32,1.0,3.0686554218581925e-06,0.02011228988101973
sio2 all 20 dish white_p07_r0164,36,44,28,36,1.0,3.5661379433552513e-06,0.020058618558023322
sio2 all 20 dish white_p07_r0165,36,44,32,40,1.0,3.727584512328911e-06,0.019843703505050145
sio2 all 20 dish white_p07_r0166,36,44,36,44,1.0,3.353404092429443e-06,0.01962645627859119
sio2 all 20 dish white_p07_r0167,36,44,40,48,1.0,2.8883836059858704e-06,0.019182531266576
sio2 all 20 dish white_p07_r0168,36,44,44,52,1.0,2.4634046528316613e-06,0.01877270856683361
sio2 all 20 dish white_p07_r0169,36,44,48,56,1.0,2.176828381748484e-06,0.018594771228318107
sio2 all 20 dish white_p07_r0170,36,44,52,60,1.0,2.06302448723079e-06,0.01849619875904952
sio2 all 20 dish white_p07_r0171,36,44,56,64,1.0,1.9376891963927525e-06,0.018408048098463824
sio2 all 20 dish white_p07_r0172,36,44,60,68,1.0,2.2248073680719426e-06,0.018653877251985567
sio2 all 20 dish white_p07_r0173,36,44,64,72,1.0,2.134522922892992e-06,0.01912630696399772
sio2 all 20 dish white_p07_r0174,36,44,68,76,1.0,2.530378190292783e-06,0.019462904616548336
sio2 all 20 dish white_p07_r0175,36,44,72,80,1.0,9.030295068360748e-06,0.020933378378549913
sio2 all 20 dish white_p07_r0176,36,44,76,84,1.0,7.703928762058618e-06,0.021542028259670727
sio2 all 20 dish white_p07_r0177,36,44,80,88,0.984375,2.7163083477424435e-06,0.02090237532963191
sio2 all 20 dish white_p07_r0178,36,44,96,104,0.953125,2.628749183395797e-06,0.02139409437214474
sio2 all 20 dish white_p07_r0179,36,44,100,108,0.90625,2.0400458389110072e-06,0.021893453101291982
sio2 all 20 dish white_p07_r0180,40,48,4,12,0.875,0.0001256541161891406,0.0277517600896248
sio2 all 20 dish white_p07_r0181,40,48,8,16,1.0,4.288115063054629e-06,0.024577425989823615
sio2 all 20 dish white_p07_r0182,40,48,12,20,1.0,5.178280603255355e-06,0.024224806224531794
sio2 all 20 dish white_p07_r0183,40,48,16,24,1.0,5.960129123214747e-06,0.02246324988282355
sio2 all 20 dish white_p07_r0184,40,48,20,28,1.0,3.460242609330547e-06,0.021242460661824638
sio2 all 20 dish white_p07_r0185,40,48,24,32,1.0,2.718423745593934e-06,0.021336523497775896
sio2 all 20 dish white_p07_r0186,40,48,28,36,1.0,2.33134603308772e-06,0.0213200848983195
sio2 all 20 dish white_p07_r0187,40,48,32,40,1.0,2.6686823157340073e-06,0.021108662023949957
sio2 all 20 dish white_p07_r0188,40,48,36,44,1.0,2.7451483131995724e-06,0.02071843389326693
sio2 all 20 dish white_p07_r0189,40,48,40,48,1.0,2.38655334916834e-06,0.020115839899308482
sio2 all 20 dish white_p07_r0190,40,48,44,52,1.0,2.0936076936270433e-06,0.01963446710869086
sio2 all 20 dish white_p07_r0191,40,48,48,56,1.0,2.043702113257898e-06,0.019307151570042556
sio2 all 20 dish white_p07_r0192,40,48,52,60,1.0,2.109307409448688e-06,0.019022364190773033
sio2 all 20 dish white_p07_r0193,40,48,56,64,1.0,1.978858681705739e-06,0.018813943517727104
sio2 all 20 dish white_p07_r0194,40,48,60,68,1.0,2.2897671702406812e-06,0.01908006561472919
sio2 all 20 dish white_p07_r0195,40,48,64,72,1.0,2.2327778010988927e-06,0.019468289790452717
sio2 all 20 dish white_p07_r0196,40,48,68,76,1.0,2.395986999931526e-06,0.019649071643388204
sio2 all 20 dish white_p07_r0197,40,48,72,80,1.0,9.203625253411717e-06,0.021009444619480913
sio2 all 20 dish white_p07_r0198,40,48,76,84,0.984375,8.00136116093486e-06,0.021595301292125137
sio2 all 20 dish white_p07_r0199,44,52,8,16,1.0,3.6378714910047455e-06,0.02564261311808338
sio2 all 20 dish white_p07_r0200,44,52,12,20,1.0,3.658157074083201e-06,0.02545428818591337
sio2 all 20 dish white_p07_r0201,44,52,16,24,1.0,4.861300060196373e-06,0.02389594792345158
