roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0217,sio2 all 20 dish white_p01,sio2,train,0.4322104521998134
sio2 all 20 dish white_p01_r0218,sio2 all 20 dish white_p01,sio2,train,0.4359839975648017
sio2 all 20 dish white_p01_r0219,sio2 all 20 dish white_p01,sio2,train,0.4503298425442561
sio2 all 20 dish white_p01_r0220,sio2 all 20 dish white_p01,sio2,train,0.44359646527934943
sio2 all 20 dish white_p01_r0221,sio2 all 20 dish white_p01,sio2,train,0.43848283358085316
sio2 all 20 dish white_p01_r0222,sio2 all 20 dish white_p01,sio2,train,0.44404799383673405
sio2 all 20 dish white_p01_r0223,sio2 all 20 dish white_p01,sio2,train,0.4347573378742356
sio2 all 20 dish white_p01_r0224,sio2 all 20 dish white_p01,sio2,train,0.48704443382242835
sio2 all 20 dish white_p01_r0225,sio2 all 20 dish white_p01,sio2,train,0.544085728176514
sio2 all 20 dish white_p01_r0226,sio2 all 20 dish white_p01,sio2,train,0.5411020059139775
sio2 all 20 dish white_p01_r0227,sio2 all 20 dish white_p01,sio2,train,0.4465171687899913
sio2 all 20 dish white_p01_r0228,sio2 all 20 dish white_p01,sio2,train,0.46226771003298234
sio2 all 20 dish white_p01_r0229,sio2 all 20 dish white_p01,sio2,train,0.4528964463448843
sio2 all 20 dish white_p01_r0230,sio2 all 20 dish white_p01,sio2,train,0.4260885108350447
sio2 all 20 dish white_p01_r0231,sio2 all 20 dish white_p01,sio2,train,0.4162250321148272
sio2 all 20 dish white_p01_r0232,sio2 all 20 dish white_p01,sio2,train,0.40885088468544106
sio2 all 20 dish white_p01_r0233,sio2 all 20 dish white_p01,sio2,train,0.4359775024792529
sio2 all 20 dish white_p01_r0234,sio2 all 20 dish white_p01,sio2,train,0.4069301421546745
sio2 all 20 dish white_p01_r0235,sio2 all 20 dish white_p01,sio2,train,0.411925894825021
sio2 all 20 dish white_p01_r0236,sio2 all 20 dish white_p01,sio2,train,0.4195505903894255
sio2 all 20 dish white_p01_r0237,sio2 all 20 dish white_p01,sio2,train,0.4227553027371932
sio2 all 20 dish white_p01_r0238,sio2 all 20 dish white_p01,sio2,train,0.4286768705964894
sio2 all 20 dish white_p01_r0239,sio2 all 20 dish white_p01,sio2,train,0.4544321784582427
sio2 all 20 dish white_p01_r0240,sio2 all 20 dish white_p01,sio2,train,0.467690274788481
sio2 all 20 dish white_p01_r0241,sio2 all 20 dish white_p01,sio2,train,0.4927238739920722
sio2 all 20 dish white_p01_r0242,sio2 all 20 dish white_p01,sio2,train,0.4860100628432841
sio2 all 20 dish white_p01_r0243,sio2 all 20 dish white_p01,sio2,train,0.4761247579560478
sio2 all 20 dish white_p01_r0244,sio2 all 20 dish white_p01,sio2,train,0.5129427243169833
sio2 all 20 dish white_p01_r0245,sio2 all 20 dish white_p01,sio2,train,0.5416092625716844
sio2 all 20 dish white_p01_r0246,sio2 all 20 dish white_p01,sio2,train,0.5408877474757185
sio2 all 20 dish white_p01_r0247,sio2 all 20 dish white_p01,sio2,train,0.5717078695116694
sio2 all 20 dish white_p01_r0248,sio2 all 20 dish white_p01,sio2,train,0.582985809983245
sio2 all 20 dish white_p01_r0249,sio2 all 20 dish white_p01,sio2,train,0.5874951648532027
sio2 all 20 dish white_p01_r0250,sio2 all 20 dish white_p01,sio2,train,0.41821130466416456
sio2 all 20 dish white_p01_r0251,sio2 all 20 dish white_p01,sio2,train,0.4379453282867257
sio2 all 20 dish white_p01_r0252,sio2 all 20 dish white_p01,sio2,train,0.43746176337797776
sio2 all 20 dish white_p01_r0253,sio2 all 20 dish white_p01,sio2,train,0.4380523348148647
sio2 all 20 dish white_p01_r0254,sio2 all 20 dish white_p01,sio2,train,0.433396356146396
sio2 all 20 dish white_p01_r0255,sio2 all 20 dish white_p01,sio2,train,0.4328645270937448
sio2 all 20 dish white_p01_r0256,sio2 all 20 dish white_p01,sio2,train,0.45577411592060146
